City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
238,tamanrasset,22.785,5.5228,29.95,30,40,2.57,DZ,1724281346
239,ciamis,-7.3257,108.3534,20.34,93,100,0.54,ID,1724281347
240,haiku-pauwela,20.9219,-156.3051,27.87,68,2,7.6,US,1724281349
241,tolanaro,-25.0319,46.9987,21.04,73,20,5.14,MG,1724281350
242,nar'yan-mar,67.6713,53.087,5.93,95,55,1.66,RU,1724281352
243,vadso,70.0744,29.7487,15.09,77,97,6.17,NO,1724281353
244,jiwani,25.05,61.7417,26.79,84,26,3.55,PK,1724281354
245,olyokminsk,60.3736,120.4264,15.19,87,26,1.53,RU,1724281355
246,ketchikan,55.3422,-131.6461,17.61,59,8,3.04,US,1724281356
247,bredasdorp,-34.5322,20.0403,5.67,72,26,1.51,ZA,1724281358
248,crete,35.1558,24.895,17.86,83,15,0.68,GR,1724281359
249,acarau,-2.8856,-40.12,25.47,82,4,7.66,BR,1724281360
250,sinabang,2.4803,96.3801,26.8,79,100,2.19,ID,1724281361
251,punta del este,-34.9667,-54.95,14.37,100,100,1.79,UY,1724281076
252,ponta delgada,37.7333,-25.6667,23.4,83,20,2.57,PT,1724281363
253,springbok,-29.6643,17.8865,4.99,78,0,3.65,ZA,1724281364
254,sao bartolomeu de messines,37.2602,-8.2867,19.68,71,0,3.18,PT,1724281365
255,moapa valley,36.5805,-114.4703,42.04,16,1,8.89,US,1724281367
256,port blair,11.6667,92.75,26.02,94,75,1.03,IN,1724281368
257,belmonte,-15.8631,-38.8828,23.02,87,58,2.7,BR,1724281369
258,dunedin,-45.8742,170.5036,10.45,58,46,2.68,NZ,1724281307
259,keetmanshoop,-26.5833,18.1333,13.04,34,0,1.04,,1724281371
260,masterton,-40.9597,175.6575,12.88,66,10,2.84,NZ,1724281372
261,lycksele,64.5954,18.6735,14.93,94,20,3.09,SE,1724281373
262,ardabil,38.2498,48.2933,12.75,100,0,2.06,IR,1724281374
263,georgetown,5.4112,100.3354,24.97,94,20,1.03,MY,1724281081
264,laghouat,33.8,2.8651,31.33,25,96,3.45,DZ,1724281377
265,vila velha,-20.3297,-40.2925,22.19,89,0,1.54,BR,1724281378
266,westport,41.1415,-73.3579,19.78,62,69,3.58,US,1724281270
267,prince rupert,54.3161,-130.3201,17.05,72,0,6.17,CA,1724281380
268,coahuayana de hidalgo,18.7,-103.6583,30.45,66,74,2.45,MX,1724281381
269,mungwi,-10.1732,31.3694,14.98,51,87,2.01,ZM,1724281382
270,qeshm,26.9581,56.2719,30.21,75,100,3.94,IR,1724281383
271,qarqaraly,49.4058,75.4742,10.54,81,8,1.2,KZ,1724281384
272,enewetak,11.3474,162.3373,28.67,76,99,5.44,MH,1724281386
273,nuku'alofa,-21.1333,-175.2,24.19,94,75,6.69,TO,1724281387
274,sabang,5.8933,95.3214,28.73,73,100,3.1,ID,1724281388
275,evergreen,39.6333,-105.3172,27.49,31,77,4.02,US,1724281389
276,hithadhoo,-0.6,73.0833,28.33,76,100,4.16,MV,1724281260
277,nevada,39.2502,-116.7512,24.92,6,0,4.84,US,1724281357
278,vilyuysk,63.7553,121.6247,14.96,88,100,2.18,RU,1724281392
279,prince george,53.9166,-122.753,18.69,72,75,2.57,CA,1724281249
280,glace bay,46.1969,-59.957,21.14,94,100,2.68,CA,1724281394
281,sorong,-0.8833,131.25,25.32,89,100,1.28,ID,1724281396
282,rongelap,11.1635,166.8941,28.22,77,14,4.99,MH,1724280997
283,nehe,48.4833,124.8333,13.69,90,100,3.72,CN,1724281398
284,gloversville,43.0528,-74.3438,14.21,83,40,4.12,US,1724281399
285,al bawiti,28.3492,28.8659,28.56,45,0,5.33,EG,1724281100
286,pisco,-13.7,-76.2167,19.03,72,13,11.83,PE,1724280702
287,ishurdi,24.1333,89.0833,26.83,92,98,2.79,BD,1724281402
288,al hufuf,25.3646,49.5653,34.19,59,0,1.54,SA,1724281403
289,great falls,47.5002,-111.3008,26.56,28,20,5.14,US,1724281404
290,massa lubrense,40.6053,14.3667,25.62,71,0,1.02,IT,1724281406
